Title,Rate,Comment,Author,Date,Extraction_date
Good location,"['ui_bubble_rating', 'bubble_40']","The hotel was what you would expect from a Novotel. It offers reasonable value and the product is what it is. However the breakfast was disappointing, choice not terribly extensive and I have had a lot better in other Novotels. The waiters need to be...More",Geneva-anonymous,"Reviewed October 22, 2015",2017-12-08 11:57:59.797324
Location has pluses and minuses,"['ui_bubble_rating', 'bubble_40']","Being at Les Halles / Chatelet is convenient for walking to many locations as well as a hub for a number of urban and suburban train and metro lines. As a previous reviewer mentioned, the extensive renovations at the adjacent Forum Les Halles means the...More",Reiziger2017,"Reviewed October 15, 2015",2017-12-08 11:57:59.797337
Ideal Location ,"['ui_bubble_rating', 'bubble_40']","This hotel is perfectly located for easily exploring Paris;just minutes from the rail network and a link direct to the airport at CDG.
I was visiting Paris as a stopover en route to Bangkok and decided to spend 24 hours in the city. Chose this...More",GLASGOWCHILL,"Reviewed October 10, 2015",2017-12-08 11:57:59.797351
Great location,"['ui_bubble_rating', 'bubble_40']",Friendly efficient staff. Walkable to many sites & restaurants. Hotel employees always available to answer questions. Hotel & rooms well appointed although our room was a little small for three of us. I would definitely stay here again & recommend to friends & family. I...More,28Pam2014,"Reviewed October 1, 2015",2017-12-08 11:57:59.797364
Poor area and poor stay,"['ui_bubble_rating', 'bubble_40']","Travellers should be warned that the Chatelet Les Halles station and area are all under heavy construction at present. Many escalators and elevators are inoperable.
The hotel itself has poor service, only one member of staff for check in and check out is inexcusable. One...More",David H,"Reviewed September 24, 2015",2017-12-08 11:57:59.797377
Very goid hotel in a good location,"['ui_bubble_rating', 'bubble_40']",Very good hotel. Great location accessible to all major attractions in Paris. Very well managed and maintained. We stayed in one of the renocated rooms in floor 4. State of the art room. Very modern and comfortable. We understand there are rooms not renovated. We...More,Marthav12324,"Reviewed September 16, 2015",2017-12-08 11:57:59.797391
Better than expected,"['ui_bubble_rating', 'bubble_40']","Check-in was a bit of a bun fight... apparently there were various rooms not ready at 5:30pm. Ours were, though, which was good. The rooms are modern and clean. Our rooms had Nespresso machines (good) but no free bottled water (bad). The showers have electronic...More",twogwailos,"Reviewed September 10, 2015",2017-12-08 11:57:59.797405
Lovely stay however ruined by staff's attitude over a missing item from room,"['ui_bubble_rating', 'bubble_40']","Spent 2 nights in this hotel celebrating my mothers 70th birthday. Our stay in Paris was lovely and the hotel is in a good location.
However Breakfast was chaotic and not good quality food, pancakes were cold, tables messy, coffee machines not working to list...More",Rachel M,"Reviewed September 7, 2015",2017-12-08 11:57:59.797419
Very central modern hotel by Chatelet les Halles,"['ui_bubble_rating', 'bubble_40']","This hotel is right next to Les Halles shopping centre which is being progressively rebuilt while it remains open. So a lot of building work has been going on there for many months and looks to continue. That said, whilst there is a lot of...More",alanreynolds,"Reviewed September 3, 2015",2017-12-08 11:57:59.797434
loved it,"['ui_bubble_rating', 'bubble_40']","Really enjoyed this hotel , it made our trip to paris extra speciall.
it was our 25th wedding anniversary so we upgraded to an executive room and are glad we did.
Modern comfortable room with good facilities including robe and slippers.My 13 year old daughter...More",jaddab_11,"Reviewed August 30, 2015",2017-12-08 11:57:59.797448
Perfect ,"['ui_bubble_rating', 'bubble_40']","Coming from a person with really high expectations this hotel has exceeded them. I will be honest, our room was very dated but served it's purpose for our needs. We were a family of 4, 2 adults and 2 children. Our room was on the...More",pinkava,"Reviewed August 23, 2015",2017-12-08 11:57:59.797461
Good hotel,"['ui_bubble_rating', 'bubble_40']","We stayed at this hotel for a weekend, central location, but there has been works going on outside for some time. Overall hotel is well kept with decent size rooms. Bathroom is typical Parisan with toilet and shower in different rooms (and no sink with...More",R0cketman_84,"Reviewed August 21, 2015",2017-12-08 11:57:59.797473
Nice Reasonable Hotel in the Heart of Paris!,"['ui_bubble_rating', 'bubble_40']","This Novotel is located in the 1st District of Paris. It is very close to the Lourve and Notre Dame. The neighborhood doesn't have very many good places to eat, however, you can walk to St. Germain or the Latin Quarter easily. Shopping is good...More",Karen G,"Reviewed August 17, 2015",2017-12-08 11:57:59.797486
"Great location, great hotel","['ui_bubble_rating', 'bubble_40']","Right in the middle of a massive construction project around it (for the subway / shopping center Les Halles) the Novotel proved quiet, clean, pleasant and with just perfect location for a Paris vacation.
We had an executive room with a queen bed and a...More",Dirk H,"Reviewed August 14, 2015",2017-12-08 11:57:59.797500
Excellent Location with Modern Style and Suitable for Small Families,"['ui_bubble_rating', 'bubble_40']","We booked a room with a queen bed and one single bed (converted from a couch) to use for a toddler.
The room has a mini-fridge, though it is stocked, but you can ask the hotel to clear it out if you plan on storing...More",sokket,"Reviewed August 9, 2015",2017-12-08 11:57:59.797513
City break with kids,"['ui_bubble_rating', 'bubble_40']","We were well looked after for our 2 nights at the Novotel Paris Les Halles. An executive room (1 double bed / 1 sofa bed) did fine for one adult with two children, was clean and kitted out as you would expect of a Novotel....More",FletcherForward,"Reviewed August 6, 2015",2017-12-08 11:57:59.797526
"Location, modern/clean, pleasant. FAMILY friendly.","['ui_bubble_rating', 'bubble_40']","Stayed at this for location and because Novotel offered rooms with 2 Queen size beds, a rarity in European hotels, but a huge plus for family with 2 kids...
Arrival was a pain because of construction surrounding the hotel and adjacent area. Taxi could not...More",Dan M,"Reviewed July 29, 2015",2017-12-08 11:57:59.797539
Great location and very fine hotel,"['ui_bubble_rating', 'bubble_40']","Family of four had a very pleasant stay in a family room. Staff upgraded to bigger room at check-in.
Room clean and tidy, nicely decorated. Air condition.
Breakfast buffe with everything including entertainment for kids.
Hotel situated very close to city attractions such as Lovre,...More",Carina F,"Reviewed July 26, 2015",2017-12-08 11:57:59.797559
Brilliant Staff!! Made our stay!,"['ui_bubble_rating', 'bubble_40']","The staff at the Novotel made our holiday special! They were friendly, helpful and went above and beyond to ensure that our stay was memorable. They really looked after us. Special thankyous to Audrey, Romain and Paul to name afew! The Hotel was brilliant...we stayed...More",Jennifer S,"Reviewed July 19, 2015",2017-12-08 11:57:59.797574
La Place Restaurant at Novotel Les Halles,"['ui_bubble_rating', 'bubble_40']","Just had the best meal we have ever had at the restaurant La Place at Novotel Les Halles. The service of Nickolas was sensational. Thank you so much.
The rooms are nice and staff are friendly but that restaurant was just perfect.More",Kelly C,"Reviewed July 17, 2015",2017-12-08 11:57:59.797588
Calm in an oasis of construction!,"['ui_bubble_rating', 'bubble_40']",Novotel in Les Halles is a good choice you want to be in central Paris. Be warned though - a huge construction project (new park) in Les Halles is underway so the area around is a mess. We upgraded to a superior room - compact...More,Conorlyn,"Reviewed July 13, 2015",2017-12-08 11:57:59.797601
"Excellent locations, but service sometimes lacking","['ui_bubble_rating', 'bubble_40']","We have just come back from a 3 night stay at the Novotel Les Halles and I have to say the location is perfect for exploring.
The metro station is only a couple of minutes walk away, the Seine river about 5 minutes and the...More",EggyPuff,"Reviewed July 8, 2015",2017-12-08 11:57:59.797614
Tres bien!,"['ui_bubble_rating', 'bubble_40']","A beautiful hotel with lovely rooms, beautiful bath and welcoming staff. Would definitely stay here again. Location is perfect--about a ten minute walk to the Seine and the Louvre. If you include the breakfast you won't be disappointed. The only issue currently is the construction...More",Mary V,"Reviewed June 28, 2015",2017-12-08 11:57:59.797627
Location and friendly service,"['ui_bubble_rating', 'bubble_40']",More,Navion5150,"Reviewed June 21, 2015",2017-12-08 11:57:59.797641
Close to touristic locations,"['ui_bubble_rating', 'bubble_40']",More,anthrax1,"Reviewed June 17, 2015",2017-12-08 11:57:59.797648
"Perfect location, very spacious rooms for Paris/France Standard...","['ui_bubble_rating', 'bubble_40']",Stayed for 5 night in a superior room: perfect location to discover Paris in the heart of Les Halles and very close on foot to many majors tourist attractions of Paris. Also a big plus is being close to the RER line B that in...More,Athens85,"Reviewed June 14, 2015",2017-12-08 11:57:59.797656
Good hotel at a central location,"['ui_bubble_rating', 'bubble_40']","Perfect location for sightseeing central Paris. Clean rooms with good space,
somewhat busy during breakfast but all in all a very good experience. Would definitely consider this hotel for future visits to Paris.",vvel,"Reviewed June 7, 2015",2017-12-08 11:57:59.797669
Over all an amazing experiance! ,"['ui_bubble_rating', 'bubble_40']",I have traveled to Paris quite a few times over the past few years. I have to admit It's never a trip I look forward to...But this trip has been significantly different! The Novotel Les Halle has been clean comfortable and very accommodating. The room...More,K446CCjeffb,"Reviewed June 4, 2015",2017-12-08 11:57:59.797681
Great hotel and location ,"['ui_bubble_rating', 'bubble_40']",We caught to eurostar from London to Paris and used the novotel as our base. The room was great - a good size with a massive sofa bed for the kids that was really comfortable. The hotel location is superb - the RER to Disneyland...More,Derek O,"Reviewed May 30, 2015",2017-12-08 11:57:59.797695
Great hotel,"['ui_bubble_rating', 'bubble_40']","We stayed at this hotel for three nights. The room was good size and very clean, but the closet was small and although the Smart TV was gorgeous it was slow in jumping from channel to other. The check in and out was fast. There...More",Maher T,"Reviewed May 27, 2015",2017-12-08 11:57:59.797708
"Modern hotel, excellent location","['ui_bubble_rating', 'bubble_40']","We stayed at this hotel for three nights. It is located just across the street from Chatelet Les Halles metro station, giving easy access to RER network to CDG airport and Eurodisney. The room was of average size and very clean. The check in and...More",Azizi A,"Reviewed May 20, 2015",2017-12-08 11:57:59.797720
Be Aware,"['ui_bubble_rating', 'bubble_40']","Nice hotel. Great location. Bar in hotel is active. Restaurants in the neighborhood are both busy and good. Problem: Major construction around hotel. I asked to change rooms, better but still construction outside my window. In spite of the construction, the hotel was still relatively...More",Bob S,"Reviewed May 14, 2015",2017-12-08 11:57:59.797733
Great hotel at great location,"['ui_bubble_rating', 'bubble_40']","We stayed at this hotel with my wife from May 2 through May 7 2015.
We were delighted with the experience. Very good room, excellent service, very good breakfast and in a privileged location for a good visit to Paris.
Very clean, spotless
Thank you...More",Edgardo K,"Reviewed May 8, 2015",2017-12-08 11:57:59.797747
'Le hotel magnifique',"['ui_bubble_rating', 'bubble_40']","My friends and I are impressed by the incredibly welcoming, helping, friendly and warm staff at Novotel Les Halles. They talk English and Spanish. The breakfast is delicious, and the whole hotel is fresh, clean and beautiful. Just minutes away from the Louvre museum, surrounded...More",Pecaslocas,"Reviewed April 26, 2015",2017-12-08 11:57:59.797760
This hotel has seen better days,"['ui_bubble_rating', 'bubble_40']","We only spoke to 2 receptionist when checking in and out. Both were friendly and worked fast.
The hotel itself has seen better days.
Our room was ok but the carpet has stains that will not come out anymore. It is just not so inviting....More",veve2908,"Reviewed April 21, 2015",2017-12-08 11:57:59.797774
"Not bad, but needs some ""soul""","['ui_bubble_rating', 'bubble_40']","We stayed at the hotel for a few days during a busy weekend and although the reception was always very crowed, staff was very pleasant and helpfull. We arrived at 2.15 pm and as our room was not yet available, the front desk staff did...More",Marleen H,"Reviewed April 19, 2015",2017-12-08 11:57:59.797787
Excellent ,"['ui_bubble_rating', 'bubble_40']",This hotel was excellent in every way. The location was perfect and a two minute walk from Forum Des Halles and Les Halles and Châtelet Les Halles metro stations. Prices are good and staff were great. Pillows were a tiny bit odd but I grew...More,olitj481,"Reviewed April 13, 2015",2017-12-08 11:57:59.797800
Central Modern Hotel,"['ui_bubble_rating', 'bubble_40']","Stayed for one night on a business trip. The hotel is well situated in central Paris (direct 40 minute RER train from Charles de Gaulle Airport - 10 Euro). Although there is major construction work taking place around the hotel, the excellent sound proofing meant...More",Honda51,"Reviewed April 7, 2015",2017-12-08 11:57:59.797814
"Excellent hotel, excellent location","['ui_bubble_rating', 'bubble_40']","We were recommended this hotel by a travel agent and were initially a little hesitant due to the reported construction nearby. Thankfully the building work appears almost complete so I don't feel there should be much impact on the hotel.
Our level 5 room faced...More",Ocahan,"Reviewed April 6, 2015",2017-12-08 11:57:59.797827
Loved this place,"['ui_bubble_rating', 'bubble_40']","The surrounding construction areas were a bit of a turn off when we first arrived. However, once in the hotel, we were pleasantly surprised at how lovely the place was. The lobby, lounge and restaurant were extremely clean and even though very modern in decor,...More",gccg21,"Reviewed March 29, 2015",2017-12-08 11:57:59.797840
"Agree with ""Terrible stay""- Don't expect much!","['ui_bubble_rating', 'bubble_40']",I went to the hotel to stay for my Honeymoon. On arrival I was very tired and disappointed to see the construction works. After seeing some of the many responses about the construction I feel the hotel has not exercised their dur diligence by advising...More,frequentraveller2015,"Reviewed March 24, 2015",2017-12-08 11:57:59.797861
Novotel Les Halles Paris,"['ui_bubble_rating', 'bubble_40']",More,tayloredart,"Reviewed March 17, 2015",2017-12-08 11:57:59.797876
Lovely hotel! ,"['ui_bubble_rating', 'bubble_40']","I stayed here with a friend last month during a weekend trip to Paris and found this hotel to be excellent. Upon arrival, we were greeted by friendly staff at the desk and were provided with helpful information and maps to get around the city....More",Suzanne9128,"Reviewed March 13, 2015",2017-12-08 11:57:59.797884
Good value,"['ui_bubble_rating', 'bubble_40']",Most things about this hotel where good. We knew about construction work before we booked so no problem there. Hotel communal areas are very clean and bright. Staff very helpful and informative about things to do around local area. Breakfast was good and plentiful. The...More,malons,"Reviewed February 22, 2015",2017-12-08 11:57:59.797897
Recent Stay,"['ui_bubble_rating', 'bubble_40']",More,JenPLondon,"Reviewed February 15, 2015",2017-12-08 11:57:59.797910
Great Location with great service,"['ui_bubble_rating', 'bubble_40']","stayed for a week with my husband and 2 kids. staff were very helpful and friendly. We stayed on the 6th floor in one of the newly renovated rooms which was cozy and clean.great location, near to several attractions by walking such as Louvre, Notredame,...More",Ran00n,"Reviewed February 7, 2015",2017-12-08 11:57:59.797918
An oasis in Paris,"['ui_bubble_rating', 'bubble_40']",Our family holiday in Paris was memorable and stress-free because of the wonderful experience we had staying here. The staff were friendly and helpful and the rooms we stayed in had recently been renovated. Our rooms were on the 6th floor facing the internal courtyard...More,crayfish138,"Reviewed February 2, 2015",2017-12-08 11:57:59.797932
Novotel style in a gritty Paris neighborhood,"['ui_bubble_rating', 'bubble_40']","This is good place to stay in a somewhat gritty part of Paris. Very nice staff, very gracious. Once inside everything is pleasant, out side in the construction zone expect confusion. I stayed six nights during the holidays so noise was not a problem. Also...More",barretteagan,"Reviewed January 21, 2015",2017-12-08 11:57:59.797946
Great location,"['ui_bubble_rating', 'bubble_40']",Recently stayed here and it was everything we could have asked for. Hotel staff were superb and could not do enough for us. They went out of their way to help make our stay extra special. Location wise it is in a great spot. Lots...More,Arianne65,"Reviewed January 14, 2015",2017-12-08 11:57:59.797960
"Rocky start, but overall ok","['ui_bubble_rating', 'bubble_40']","We would consider staying at this property again, but likely would stay elsewhere. Pros: 1) the hotel was very conveniently located to the Louvre, is very close to numerous restaurants that were quite good, and there is a small convenience store right next door where...More",momuvami,"Reviewed January 7, 2015",2017-12-08 11:57:59.797973
"Best hotel ever, mixed with easily fixed disappointments","['ui_bubble_rating', 'bubble_40']","Our family stayed here for one week over Christmas with kids (13,12, 10, and 7). We had reserved two rooms online. While we were pleased with the rooms, their location, the sleeping arrangements, and the included breakfast; we were told that if we had not...More",KMc4528,"Reviewed December 30, 2014",2017-12-08 11:57:59.797987
Brief but excellent!,"['ui_bubble_rating', 'bubble_40']",More,RCTAC,"Reviewed December 21, 2014",2017-12-08 11:57:59.798002
Good hotel in very central location,"['ui_bubble_rating', 'bubble_40']","Great location, walking distance to louvre and other sites, nice location with lots of little shops in the vicinity. The hotel is large, and the rooms are fairly spacious for Paris. There is construction next door going on during the day which means you need...More",Natt28,"Reviewed December 10, 2014",2017-12-08 11:57:59.798010
Terrible all round,"['ui_bubble_rating', 'bubble_40']","Stayed here for 3 nights, never again.
During check-in, staff at the reception took my passport to confirm my identity and then didn't return it. I had to panic run down to reception in order to reclaim it as they'd forgotten to return it. Wasn't...More",shakeitforme,"Reviewed December 3, 2014",2017-12-08 11:57:59.798024
Another great Novotel property,"['ui_bubble_rating', 'bubble_40']",More,Francis K,"Reviewed November 26, 2014",2017-12-08 11:57:59.798038
Great location & pleasant service,"['ui_bubble_rating', 'bubble_40']","Good: Great location, close to everything that a tourist would want: shopping, subway, restaurants, nightlife. Pleasant and professional service. Good breakfast. Nice decor.
Not so good: the mattress was kinda old and uncomfortable.",Attalife,"Reviewed November 24, 2014",2017-12-08 11:57:59.798046
Loved this hotel!!,"['ui_bubble_rating', 'bubble_40']",This hotel was excellent. Beautiful decoration as you enter the lobby and the most pleasant fragrance!!! Staff was so friendly and kind....spoke english as well as spanish among others. Rooms were spacious and very Nice. It is true there is a Hugo construction around the...More,RosiSept15,"Reviewed November 15, 2014",2017-12-08 11:57:59.798059
A disappointing experience at a great hotel leads to the rating drop!,"['ui_bubble_rating', 'bubble_40']","Simply, the Novotel Paris Les Halles is a centrally positioned hotel that is convenient to all of Paris including Disney. The location provides direct access to the RER which takes you direct to Disneyland in 30 minutes; the metro is also right on the doorstep...More",ForeignGuardian,"Reviewed November 6, 2014",2017-12-08 11:57:59.798073
Martello's review,"['ui_bubble_rating', 'bubble_40']",,Claudia M,"Reviewed October 29, 2014",2017-12-08 11:57:59.798087
i Will never go back in a Novotel. Je ne retournerai plus dans un Novotel !,"['ui_bubble_rating', 'bubble_40']",It's my first review below 4* on trip advisor. We were traveling with 2 young children and we were happy to have found a well located hotel with 1 room for all family. This has been said the room (supposedly renovated) looked like a psychiatric...More,Marie-Helene265109,"Reviewed October 16, 2014",2017-12-08 11:57:59.798095
"Great room, very clean, view slightly dull","['ui_bubble_rating', 'bubble_40']","I went to Paris for the weekend and my partner and i were looking for a hotel near the metro so we chose this hotel; the room itself was superb with a separate shower room, sink and toilet, the standard of which was very high...More",massproductions,"Reviewed October 9, 2014",2017-12-08 11:57:59.798111
Clean and comfortable,"['ui_bubble_rating', 'bubble_40']","This hotel was very busy. Customer service was great in light of that, but we still waited a long time to be able to check in. We also tried to get a restaurant recommendation, and all we could get from the night desk clerk was,...More",njkrisko,"Reviewed September 28, 2014",2017-12-08 11:57:59.798125
Had a great stay at Novotel Les Halles,"['ui_bubble_rating', 'bubble_40']","We stayed in this hotel for a week. As this is a family vacation, we opted for the executive room which has a double sofa bed.
There is a construction going on around the hotel, so it takes a bit of maneuvering to get into...More",Eiffel21,"Reviewed September 16, 2014",2017-12-08 11:57:59.798138
Excellent Hotel - pity about the taxis,"['ui_bubble_rating', 'bubble_40']",More,Duncan B,"Reviewed September 14, 2014",2017-12-08 11:57:59.798151
Perfect location,"['ui_bubble_rating', 'bubble_40']","We spent 5 nights in Paris Novotel les Halles ( 2adults and 2 children with 14 and 9). Location was perfect, rooms were ok, quite small and not the newest ones. Staff was very, really very Kind and helpfull. Breakfast was very nice and children...More",Ilse A,"Reviewed September 2, 2014",2017-12-08 11:57:59.798159
One of the best location,"['ui_bubble_rating', 'bubble_40']","This hotel is near few tourist attractions and one of the major metro station.So it's easy to plan out a day's trip.
The room is quite standard. The staff told me they just recently renovated. I stayed in the executive room so I got to...More",Nicholas L,"Reviewed August 31, 2014",2017-12-08 11:57:59.798179
2 nights at Novotel,"['ui_bubble_rating', 'bubble_40']","The hotel was in excellent condition, modern and smelt nice. TV in the room was large and very good quality except that there were no entertainment channels in English.
Its location is very central with metro stations within walking distance.
Breakfast was very good, enjoyed...More",Steph23b,"Reviewed August 28, 2014",2017-12-08 11:57:59.798193
"Good Hotel, Excellent Location","['ui_bubble_rating', 'bubble_40']",we stayed here in August and took 2 rooms for 5 people as there was no single room available. we stayed for 5 nights. the first night was not good as we asked for joining rooms or rooms one next to other. we did not...More,Ram659,"Reviewed August 23, 2014",2017-12-08 11:57:59.798207
"Fantastic location, great hotel","['ui_bubble_rating', 'bubble_40']","We stayed here on a trip around Europe, my wife and our two children 7&8 We all stayed in the one room, which was plenty of room considering we were in the Centre of Paris.
Great location, good for cafés and shops and a short...More",ChrisPAngKatHol,"Reviewed August 14, 2014",2017-12-08 11:57:59.798221
"Great location, clean, helpful staff","['ui_bubble_rating', 'bubble_40']","Short cab ride to the hotel from the Gare du Nord - Paris train station where we got off the Eurostar from London. Close to the Louvre and the train station Chatelet-Les Halles, where we took the train to get to the Eiffel Tower. The...More",Dancerdreamer2014,"Reviewed August 7, 2014",2017-12-08 11:57:59.798235
"Great location, decor, staff, breakfast","['ui_bubble_rating', 'bubble_40']","Really enjoyed this contemporary hotel. Great breakfast spread complete with capachino machines. Location steps to train/metro made travel to anywhere easy. Nearby shopping mall had everything including salaon and pedicure.
Nice but small gym.
Felt very safe with my teens, mix of travelers. Construction only...More",Sara P,"Reviewed August 4, 2014",2017-12-08 11:57:59.798249
Listen to your hotel guests,"['ui_bubble_rating', 'bubble_40']",We booked 2 rooms for 19 to 23 july 2014. A double bed with a double sofa bed and an executive room with a sofa bed. We were greeted by a reception staff with a limp who spoke English. I was given room 150 with...More,jsyk2014,"Reviewed July 29, 2014",2017-12-08 11:57:59.798265
Short Stay in Paris,"['ui_bubble_rating', 'bubble_40']",Hi Just a heads up first Paris is under construction at the moment and a lot of building works around the Hotel. Having said that it will not effect your stay at the hotel. The staff are friendly and helpful. The rooms are clean and...More,johnaallen,"Reviewed July 25, 2014",2017-12-08 11:57:59.798277
Pretty good,"['ui_bubble_rating', 'bubble_40']",It was a great location. The rooms were not huge but they were nice enough. There was a great bar in the hotel. I found the staff to be somewhat rude. I got all kinds of attitude when I went downstairs to ask for a...More,Jules26Edmonton,"Reviewed July 19, 2014",2017-12-08 11:57:59.798290
Too Noisy,"['ui_bubble_rating', 'bubble_40']","This is a nice hotel in a good position. However, we were allocated a room with an interconnecting door and our neighbours were extremely noisy.
I realize that it's not the hotels fault if people are inconsiderate of others. However, had the room door been...More",Tams_tours_10,"Reviewed July 14, 2014",2017-12-08 11:57:59.798302
Nice hotel but some serious problems,"['ui_bubble_rating', 'bubble_40']","Could be great, but needs lots of improvement. Rooms and decor very nice, wonderful breakfast buffet, attractive lobby, bar, and patio areas. However, major construction surrounding hotel makes it very hard to find, you can't pull up to entrance in car or taxi, you have...More",MS L,"Reviewed July 2, 2014",2017-12-08 11:57:59.798315
Better than I thought it would be...,"['ui_bubble_rating', 'bubble_40']","Stayed here for 4 days when attending a congress. My initial impressions were not good. The hotel is not in a particularly nice area of Paris. There were roadworks surrounding the front which made access very difficult. It, (like most of Paris), was phenomenally expensive...More",jrst1967,"Reviewed June 26, 2014",2017-12-08 11:57:59.798329
A few kinks but good,"['ui_bubble_rating', 'bubble_40']",The location is within walking distance of the Notre Dame Cathedral and the Louvre. Not bad. But for the price we would expect air conditioning and ice cubes for our room. Parts of Europe had a heat wave at the end of May and Novotel...More,ShortStack12,"Reviewed June 17, 2014",2017-12-08 11:57:59.798343
Nightmare - never again,"['ui_bubble_rating', 'bubble_40']","21st May 2014
Reservation through accor website for a night in Novotel Paris Les Halles, 5th June 2014, price 225 EUR/night (tarif: „your Le Club AH loyalty Gold”). I booked a standard room which includes (based ont he hotel’s website as today) the airconditioning as...More",V42515,"Reviewed June 8, 2014",2017-12-08 11:57:59.798356
Perfect location in centre of Paris,"['ui_bubble_rating', 'bubble_40']","I recently stayed at this very modern and pleasant Hotel,the Metro station is 2 minutes walk now you can't do better than that,forum les halls is next door with UGC cinema 37 screens,FNAC music store is 3 minutes walk inside the forum,great selection of cd's,dvd's,vinyl,concert...More",Camillus S,"Reviewed June 1, 2014",2017-12-08 11:57:59.798374
Great Location,"['ui_bubble_rating', 'bubble_40']","Hotel was very nice and in a prime location for Paris.
Couldnt have asked for better location to be honest.
Hotel is waking distance to most major attactions and is right on the doorstep to the subway to travel if need be.
Hotel was very...More",Dazzles23,"Reviewed May 27, 2014",2017-12-08 11:57:59.798388
Great service and excellent accommodation,"['ui_bubble_rating', 'bubble_40']","I stayed in this Hotel for 3 nights in January/14. It was a great experience, the staff was so proactive and they had all the answers for us right away. The recommended us some restaurants and they were all very nice. This is not a...More",Cinthia L,"Reviewed May 22, 2014",2017-12-08 11:57:59.798400
Nice Hotel,"['ui_bubble_rating', 'bubble_40']","I really liked this hotel. Especially the position. Very close to Les Halles station from where you have all Paris at your feet. Breakfast was OK in my opinion, more than enough. We were checked in earlier than usual which was great. The room was...More",Octavian S,"Reviewed May 13, 2014",2017-12-08 11:57:59.798414
Excellent base to explore Paris,"['ui_bubble_rating', 'bubble_40']",More,andyg001,"Reviewed May 8, 2014",2017-12-08 11:57:59.798427
"Exceptional service, great quality and","['ui_bubble_rating', 'bubble_40']",We ran the one-week event for 22 people in Novotel les Halles in April 2014 and accommodated 17 delegates in a same hotel. From the very beginning we came across to the excellent team work of the sales department. Hotel people were flexible on our...More,Tania N,"Reviewed April 28, 2014",2017-12-08 11:57:59.798435
Value for money- a must for families,"['ui_bubble_rating', 'bubble_40']",We stayed at this hotel in with two children aged 14 and 16 during the Easter Holidays. The hotel location is brilliant with easy access from CDG (direct RER train to Les Halles). We were in one of their older rooms but it was nice...More,HrWil,"Reviewed April 19, 2014",2017-12-08 11:57:59.798448
A lot can change in 2 years,"['ui_bubble_rating', 'bubble_40']","We stayed at the hotel based on our last experience 2 years ago and have to say it was disappointing. Arrived at 3pm and had to wait for the room, when we did get it it had old cheese left in the minibar fridge which...More",Andrew G,"Reviewed April 12, 2014",2017-12-08 11:57:59.798461
Good location,"['ui_bubble_rating', 'bubble_40']","The hotel is well located for visits to the Louvre, Centre Pompidou, Notre Dame etc. We greatly appreciated the upgrade to an executive room and loved the coffee/tea machine in the room. Very friendly staff at the reception and throughout the hotel. Comprehensive breakfast and...More",u-8054,"Reviewed April 8, 2014",2017-12-08 11:57:59.798474
super location,"['ui_bubble_rating', 'bubble_40']","Helpfull personel, and very good location.
The rooms are a litle bit small than you will expect and the cleaning of the rooms are not so good...
The location is really good and just in front of one of the main entrence to the biggest...More",BAYBARSERKUL,"Reviewed March 31, 2014",2017-12-08 11:57:59.798494
Very Good,"['ui_bubble_rating', 'bubble_40']",More,Jānis B,"Reviewed March 25, 2014",2017-12-08 11:57:59.798507
Great Hotel but watch your bills,"['ui_bubble_rating', 'bubble_40']",We just returned from a stay at the above mentioned hotel. The room was very nice. It was clean and spacious (surprisingly so for Europe). All of the people we encountered were gracious and tolerant of our non-French language. Most spoke English so we did...More,JanR06,"Reviewed March 7, 2014",2017-12-08 11:57:59.798515
Nice hotel - Low value for money,"['ui_bubble_rating', 'bubble_40']","The hotel’s main premises are nice and especially the lobby area and the reception are well decorated and classy.
The room in which we were staying was ok in terms of size but when the extra bed was open it was hard to move in...More",Gpagi,"Reviewed February 24, 2014",2017-12-08 11:57:59.798528
Loud!,"['ui_bubble_rating', 'bubble_40']","Normally novotel hotels are not bad, they are inexpensive and provide a good place to sleep. This is not the case here. The rooms are loud and you can hear everything, I could not sleep. The staff was rude, even though that is the case...More",john c,"Reviewed February 13, 2014",2017-12-08 11:57:59.798543
Great location and hotel - just dodge construction,"['ui_bubble_rating', 'bubble_40']",A great location in close proximity to sites and the metro at your doorstep. Stayed in room 511 which was a great room but was woken up by renovations in the hotel - even though I requested quiet when I checked in!!! Staff were helpful.More,Tracy D,"Reviewed January 31, 2014",2017-12-08 11:57:59.798556
Recommended,"['ui_bubble_rating', 'bubble_40']","Excellent hotel, and a great location, the staff made us feel very welcome upon check in and managed to check us in at 11am. Would use this hotel again if I stayed in Paris, as very close to major rail links and landmarks. The rooms...More",Clarke R,"Reviewed January 23, 2014",2017-12-08 11:57:59.798570
"Good Location, bad breakfast","['ui_bubble_rating', 'bubble_40']",More,OzCatInHat,"Reviewed January 10, 2014",2017-12-08 11:57:59.798582
Nice location and Comfortable Rooms,"['ui_bubble_rating', 'bubble_40']","I have visited this hotel twice for business. It's a few steps away from the metro station and all the cafes. Very neat and comfortable rooms. A very nice bar and restaurant.
Not sure if this is the best location for tourists though.More",Nitin A,"Reviewed January 3, 2014",2017-12-08 11:57:59.798590
Good location and value,"['ui_bubble_rating', 'bubble_40']","We stoped all family of four in July 2013. Great location close to everything you can walk to the Louvre. We booked with breakfast which was really very good and extensive. The room was large only was one ""no"" we didn't like people can smoke...More",Alison7124,"Reviewed December 30, 2013",2017-12-08 11:57:59.798603
