Comment,Author,Date,Extraction_date
"Le soleil est de retour et c était l occasion de tester le brunch au Royal Monceau, un accueil superbe , un service bienveillant , un choix très appétissant, un saumon a tomber et bien sur des desserts de folie.
Nous tenions a remercier tout...Plus",Ludovic E,Avis publié : 8 mars 2014,2017-12-05 15:26:01.086366
"Pour changer d'un brunch toujours plus chargé le dimanche, nous avons adoré l'idée du samedi!
Un endroit magique, des assiettes faites minute, des œufs sous toutes leurs formes, des desserts tous plus beaux (et bons!) les uns que les autres. Bravo!Plus",Capucine V,Avis publié : 23 février 2014,2017-12-05 15:26:01.086374
"Pour changer d'un brunch toujours plus chargé le dimanche, nous avons adoré l'idée du samedi!
Un endroit magique, des assiettes faites minute, des œufs sous toutes leurs formes, des desserts tous plus beaux (et bons!) les uns que les autres. Bravo!Plus",Capucine V,Avis publié : 23 février 2014,2017-12-05 15:26:01.086383
"Nous avons passé une nuit au royal monceau en couple. Accueil très chaleureux, chambre standard très confortable avec très belle salle de bain et dressing. La piscine est agréable.. L'espace sauna hammam un peu défraîchi... Et moyennement entretenu. Malheureusement, la chambre est mal insonorisée .....Plus",Hector2008,Avis publié : 19 février 2014,2017-12-05 15:26:01.086393
"Et pourtant, d'un palace, j'attendais une expérience fluide, parfaite et inoubliable et cela n'a pas été le cas. Une réservation difficile à La Cuisine ( des contraintes horaires imposées puis modifiées par la suite), un petit déjeuner servi en chambre de qualité très décevante, et...Plus",TheParisienne,Avis publié : 7 février 2014,2017-12-05 15:26:01.086406
Cet endroit est sublime sur tous les plans. Le restaurant La Cuisine offre une qualité de service remarquable et unique à Paris - à la fois amicale et très protocolaire. Le bar se trouvant après le lobby est extrêmement cosy et le design crée par...Plus,Xkevinmx,Avis publié : 28 janvier 2014,2017-12-05 15:26:01.086416
"Dès notre arrivée le tempo était donné:accueil d'une parfaite courtoisie.,l'athmosphère chaleureuse que crée d'emblée le personnel et je citerai Yassin,présent mais sans accés ,attentif et pret à nous satisfaire.Le buffet est somptueux..et nous a permis de faire un beau voyage du Liban à l'Italie pour...Plus",citronneige,Avis publié : 12 janvier 2014,2017-12-05 15:26:01.086424
"Dès notre arrivée le tempo était donné:accueil d'une parfaite courtoisie.,l'athmosphère chaleureuse que crée d'emblée le personnel et je citerai Yassin,présent mais sans accés ,attentif et pret à nous satisfaire.Le buffet est somptueux..et nous a permis de faire un beau voyage du Liban à l'Italie pour...Plus",citronneige,Avis publié : 12 janvier 2014,2017-12-05 15:26:01.086433
"Buffet très varies , cuisine excellente , accueil très agréable...service sublissime réalisé par un personnel disponible et réactif.
Ce brunch est royal et l'ambiance est magnifique, cet hotel mérite d être vuPlus",Caroline S,Avis publié : 1 janvier 2014,2017-12-05 15:26:01.086443
"J'ai eu l'occasion de brancher au Royal monceau ce samedi, une expérience inoubliable avec un service exceptionnel de deux jeune serveurs très compétent et très attentionné Alexis et Yassin, leur service était impeccable j'y retournais ce week end encore pour sure.
Client extérieur à l'hôtelPlus",brayan h,Avis publié : 3 décembre 2013,2017-12-05 15:26:01.086450
"Au plein cœur de Paris ... A 2 pas de l arc de triomphe et deux quartier des Champs Elysées... Ce palace nous a fait rêver le temps d un weekend
De l accueil en passant par le service ... La deco.... La qualité des...Plus",Missbouda,Avis publié : 12 novembre 2013,2017-12-05 15:26:01.086460
"L'hôtel est magnifique et très bien situé. On apprécie particulièrement l’accueil et le design chaleureux de Starck. Notre chambre était superbe, on adore l’ambiance et on s'y sent bien .
Félicitations pour le personnel qui est de manière générale au top, aucune fausse note. Le...Plus",Vincent75008,Avis publié : 23 octobre 2013,2017-12-05 15:26:01.086468
"L'hôtel est magnifique et très bien situé. On apprécie particulièrement l’accueil et le design chaleureux de Starck. Notre chambre était superbe, on adore l’ambiance et on s'y sent bien .
Félicitations pour le personnel qui est de manière générale au top, aucune fausse note. Le...Plus",Vincent75008,Avis publié : 23 octobre 2013,2017-12-05 15:26:01.086478
"Nous avons eu la chance de diner au restaurant ""La cuisine"" et nous en gardons un souvenir inoubliable. Le cadre est magnifique et tout en intimité, l'accueil et le service parfait et les mets nous laissent un souvenir impérissable. C'est un voyage des saveurs dans...Plus",Marie-Laure M,Avis publié : 8 octobre 2013,2017-12-05 15:26:01.086488
"L'expérience que nous a fait vivre ce Palace tout au long de notre journée de séminaire restera un souvenir i-nou-bli-able...
Une disponibilité et une compréhension de nos besoins immédiates.
Et déjeuner fameux...
Merci à tous : fantastique équipe ! à très vitePlus",Christelle M,Avis publié : 2 octobre 2013,2017-12-05 15:26:01.086497
"De l'arrivée au départ on se sent vraiment comme chez soi ! Hôtel magnifique ! Spa sublime ! Personnel aux petits soins et très professionnel ... Mention spéciale pour l'équipe du restaurant La Cuisine !
Hâte d'y retourner à nouveau !Plus",IgorBarisic,Avis publié : 27 août 2013,2017-12-05 15:26:01.086505
"Très bon moment de détente passé au Royal Monceau au cœur de l'hôtel.
Personnel attentionné et jolie terrasse ombragée de quelques parasols.
Dégustation de la glace Ispahan, créée par Pierre Hermé qui supervise toutes les créations du palace, très agréable.
Lieu très paisible où il...Plus",y h,Avis publié : 27 juillet 2013,2017-12-05 15:26:01.086514
"Très bon moment de détente passé au Royal Monceau au cœur de l'hôtel.
Personnel attentionné et jolie terrasse ombragée de quelques parasols.
Dégustation de la glace Ispahan, créée par Pierre Hermé qui supervise toutes les créations du palace, très agréable.
Lieu très paisible où il...Plus",y h,Avis publié : 27 juillet 2013,2017-12-05 15:26:01.086523
"Nous sommes de région parisienne et avons l'habitude d'écumer les brunchs de la capitale.
Il va sans dire que celui du Royal Monceau n'a pas de rival (ou plus de rivaux car celui du Ritz et du Crillon étaient très bien - malheureusement fermés pour...Plus",Sebastien_G26474,Avis publié : 24 juin 2013,2017-12-05 15:26:01.086566
"Amateur avec mon èpouse de petit dej, nous avons decidé de tester celui du Royal Monceau et nous n'avons pas été deçu.
Le buffet était varié et raffiné, les jus de fruits frais excellents et les croissants a la rose exquis.
Le personnel ètait au...Plus",GUY B,Avis publié : 12 mai 2013,2017-12-05 15:26:01.086574
"Superbe accueil, personnel à disposition pour satisfaire toutes les demandes, meme les plus inattendues ! rien à redire sur l'accueil. parfait. Un personnel au top est une prise en charge parfaite du début jusqu'à la fin du repas.
la carte est claire, facile a comprendre....Plus",BenjaminRRR,Avis publié : 11 avril 2013,2017-12-05 15:26:01.086583
"une soirée romantique : rien ne vaut un cocktail au Bar de cet hôtel!
la déco Starck que l'on adore et où l'on s'y sent bien! un style chic et glam où l'on se dit que c'est l'endroit caché où il faut être!
les cocktails...Plus",Doud07,Avis publié : 1 avril 2013,2017-12-05 15:26:01.086592
"une soirée romantique : rien ne vaut un cocktail au Bar de cet hôtel!
la déco Starck que l'on adore et où l'on s'y sent bien! un style chic et glam où l'on se dit que c'est l'endroit caché où il faut être!
les cocktails...Plus",Doud07,Avis publié : 1 avril 2013,2017-12-05 15:26:01.086599
"Très bon dîner au Nobu du Royal Monceau , grande table ronde, accueil des plus courtois et sympathique, nous avions passe le réveillon du 1 Er janvier 2013 au Nobu de Miami, même grande cuisine japonisante , pas tout a fait japonaise, le Miku de...Plus",alsacien75,Avis publié : 5 mars 2013,2017-12-05 15:26:01.086607
"depuis son restylage par ph stark, même le personnel est trés cool.
les clients les plus exigeants sont traités aussi bien que ceux qui viennent peu souvent
le restaurant ""la cuisine"" est toujours complet du petit dèj au diner car il est top
les chambres...Plus",philipe b,Avis publié : 15 février 2013,2017-12-05 15:26:01.086615
"l accueil est impeccable et un grand sens du service, nous avons quelques désagréments :travaux dans la chambre voisine donc nous avons été réveillés tôt par le bruit, pour la nuit suivante nous avons bénéficié d' un surclassement.Au restaurant plusieurs petit couac notamment le vin...Plus",Jipix,Avis publié : 11 janvier 2013,2017-12-05 15:26:01.086624
Après Londres au Baglioni Hôtel nous sommes arrivés le samedi au Royal Monceau pour une nuit de merveille et splendeur. Durant notre séjour nous avons été bichonner par le personnel du palace des notre entrée dans les lieux. Stark à fait un travail majestueux le...Plus,Emmanuel R,Avis publié : 19 décembre 2012,2017-12-05 15:26:01.086633
Après Londres au Baglioni Hôtel nous sommes arrivés le samedi au Royal Monceau pour une nuit de merveille et splendeur. Durant notre séjour nous avons été bichonner par le personnel du palace des notre entrée dans les lieux. Stark à fait un travail majestueux le...Plus,Emmanuel R,Avis publié : 19 décembre 2012,2017-12-05 15:26:01.086641
Si vous voulez un séjour de rêve à Paris alors n hésitez pas allez au royal monceau. Le personnel sera faire de votre visite un moment merveilleux et inoubliable. Le petit déjeuné est divin et est à prendre absolument quoique un peu cher.Plus,Baltazarette,Avis publié : 15 décembre 2012,2017-12-05 15:26:01.086655
"Nous avons plusieurs fois séjourné au Royal Monceau avec mon mari et n’avons jamais été déçu par cet hôtel. L’accueil, le service, les chambres, la nourriture…tout est super!
Je vous recommande fortement le brunch durant le weekend qui est tout simplement INCROYABLE!! Pensez à reserver...Plus",SELINE M,Avis publié : 9 novembre 2012,2017-12-05 15:26:01.086664
"le royal monceau alors toute une histoire
un endroit magique magnifique un veritable palace avec l elegance à la francaise un bar à la haureur de ce que j atenndais
Enfin simplement ... nous avons passé une belle soirée inprovisée mais vraiment un moment inoubliable...Plus",laurent75011,Avis publié : 23 octobre 2012,2017-12-05 15:26:01.086673
"Super souvenir d'un apéro entre amies au Long Bar: accueil et service impeccable par le chaleureux Thomas , Tapas délicieuses, cocktails à tomber, c'est pile ce qu'il nous fallait après une longue journée de travail ! En plus le lieu est juste sublime! Je vous...Plus",Laetitia B,Avis publié : 14 septembre 2012,2017-12-05 15:26:01.086682
"Super souvenir d'un apéro entre amies au Long Bar: accueil et service impeccable par le chaleureux Thomas , Tapas délicieuses, cocktails à tomber, c'est pile ce qu'il nous fallait après une longue journée de travail ! En plus le lieu est juste sublime! Je vous...Plus",Laetitia B,Avis publié : 14 septembre 2012,2017-12-05 15:26:01.086691
"Si vous souhaitez passer une soirèe raffinée dans un lieux d'exception,nous vous conseillons le Royal Monceau Paris 8em.Tout d'abors ,nous avons dègustè une coupe de champagne rosè au ""Bar Long""..service très èlègant et parfait , par Charles, un jeune homme fort aimable et courtois, qui...Plus",BOUETjmi,Avis publié : 12 août 2012,2017-12-05 15:26:01.086700
"Nous avons profité de la terrasse de cet hôtel pour un apéritif entre amis: mojitos absolument délicieux, tapas frais et originaux, ambiance très calme et détendue avec vue sur le bassin, sans aucun bruit. Service discret et de grande qualité bien sûr, bref un endroit...Plus",Absolue,Avis publié : 21 juin 2012,2017-12-05 15:26:01.086709
"Service parfait, accueil généreux et souriant, personnelle accueillant, et décontracté ( rare pour ce type d'établissement ).
Le lieu est de toute beauté, La cuisine est le plus beau restaurant de paris, bravo.
Petit mot particulier a l'attention du personnel des restaurant, ils sont charmant,...Plus",isa f,Avis publié : 2 avril 2012,2017-12-05 15:26:01.086718
"La déco de l'hôtel et des chambres en particulier est à tomber. L'ultra modernité se cache derrière chaque bouton électrique ou miroir. Les couleurs sont chaleureuses, la salle de bain tout en miroir est incroyable. La chambre est bien isolée contre les bruits (côté rue...Plus",TPBxl,Avis publié : 17 novembre 2011,2017-12-05 15:26:01.086727
"La déco de l'hôtel et des chambres en particulier est à tomber. L'ultra modernité se cache derrière chaque bouton électrique ou miroir. Les couleurs sont chaleureuses, la salle de bain tout en miroir est incroyable. La chambre est bien isolée contre les bruits (côté rue...Plus",TPBxl,Avis publié : 17 novembre 2011,2017-12-05 15:26:01.086736
"Pour feter la ""fetes des mères"", nous sommes allés diner au restaurant de l'hotel. Le service et la cuisine etaient parfait. La soupe de cresson avec les cuisses de grenouilles ou la salade de homard: tout etait tres tres bon et tres bien présenter. Que...Plus",jpkarina,Avis publié : 4 juin 2011,2017-12-05 15:26:01.086745
Plus,John L,Avis publié : 28 juillet 2017,2017-12-05 15:26:01.086755
Plus,ACKistner,Avis publié : 18 mai 2017,2017-12-05 15:26:01.086759
Plus,stanleybstein,Avis publié : 16 avril 2017,2017-12-05 15:26:01.086763
Plus,stanleybstein,Avis publié : 16 avril 2017,2017-12-05 15:26:01.086767
Plus,Rebecca H,Avis publié : 31 mars 2017,2017-12-05 15:26:01.086771
Plus,swuwhit,Avis publié : 17 mars 2017,2017-12-05 15:26:01.086775
Plus,lise718,Avis publié : 31 décembre 2016,2017-12-05 15:26:01.086778
Plus,Hadillah,Avis publié : 3 novembre 2016,2017-12-05 15:26:01.086782
Plus,Hadillah,Avis publié : 3 novembre 2016,2017-12-05 15:26:01.086786
Plus,Ghooma,Avis publié : 18 octobre 2016,2017-12-05 15:26:01.086789
Plus,sss123,Avis publié : 24 août 2016,2017-12-05 15:26:01.086793
Plus,Samuel A,Avis publié : 15 juillet 2016,2017-12-05 15:26:01.086797
Plus,MQBSSPH7,Avis publié : 23 mai 2016,2017-12-05 15:26:01.086801
Plus,MQBSSPH7,Avis publié : 23 mai 2016,2017-12-05 15:26:01.086805
Plus,mmadar,Avis publié : 28 mars 2016,2017-12-05 15:26:01.086808
Plus,Pd85,Avis publié : 9 février 2016,2017-12-05 15:26:01.086812
Plus,sujayjaswa,Avis publié : 9 décembre 2015,2017-12-05 15:26:01.086816
Plus,MKCho,Avis publié : 15 novembre 2015,2017-12-05 15:26:01.086820
Plus,MKCho,Avis publié : 15 novembre 2015,2017-12-05 15:26:01.086823
Plus,Haydee A,Avis publié : 17 octobre 2015,2017-12-05 15:26:01.086827
Plus,Andrew S,Avis publié : 18 septembre 2015,2017-12-05 15:26:01.086831
Plus,DeeOBP,Avis publié : 26 août 2015,2017-12-05 15:26:01.086834
Plus,Does,Avis publié : 24 juillet 2015,2017-12-05 15:26:01.086838
Plus,Does,Avis publié : 24 juillet 2015,2017-12-05 15:26:01.086842
Plus,PDLon72,Avis publié : 15 juillet 2015,2017-12-05 15:26:01.086845
Plus,Ciara V,Avis publié : 4 juin 2015,2017-12-05 15:26:01.086849
Plus,LondonLauraxxx,Avis publié : 22 mai 2015,2017-12-05 15:26:01.086853
Plus,MrandMrsFoxy,Avis publié : 29 avril 2015,2017-12-05 15:26:01.086857
Plus,MrandMrsFoxy,Avis publié : 29 avril 2015,2017-12-05 15:26:01.086860
Plus,Anomyouss,Avis publié : 22 mars 2015,2017-12-05 15:26:01.086864
Plus,SBLSBLSBL,Avis publié : 15 janvier 2015,2017-12-05 15:26:01.086868
Plus,Peter G,Avis publié : 2 décembre 2014,2017-12-05 15:26:01.086872
Plus,Nicola V,Avis publié : 19 octobre 2014,2017-12-05 15:26:01.086875
Plus,Nicola V,Avis publié : 19 octobre 2014,2017-12-05 15:26:01.086879
Plus,bleuette623,Avis publié : 20 septembre 2014,2017-12-05 15:26:01.086883
Plus,Mike P,Avis publié : 29 août 2014,2017-12-05 15:26:01.086887
Plus,Jess B,Avis publié : 30 juillet 2014,2017-12-05 15:26:01.086890
Plus,Fenno B,Avis publié : 18 juillet 2014,2017-12-05 15:26:01.086894
Plus,Fenno B,Avis publié : 18 juillet 2014,2017-12-05 15:26:01.086898
Plus,MalTimeTraveller,Avis publié : 23 juin 2014,2017-12-05 15:26:01.086902
Plus,happysquirrell,Avis publié : 27 mai 2014,2017-12-05 15:26:01.086905
Plus,Daniel N,Avis publié : 6 mai 2014,2017-12-05 15:26:01.086909
Plus,Cate_Bimba,Avis publié : 22 avril 2014,2017-12-05 15:26:01.086913
Plus,Cate_Bimba,Avis publié : 22 avril 2014,2017-12-05 15:26:01.086917
Plus,lor13149,Avis publié : 25 février 2014,2017-12-05 15:26:01.086921
Plus,Kim G,Avis publié : 22 janvier 2014,2017-12-05 15:26:01.086924
Plus,patito2,Avis publié : 3 janvier 2014,2017-12-05 15:26:01.086928
Plus,Derbbo,Avis publié : 12 décembre 2013,2017-12-05 15:26:01.086932
Plus,Derbbo,Avis publié : 12 décembre 2013,2017-12-05 15:26:01.086936
Plus,Peonyc,Avis publié : 10 octobre 2013,2017-12-05 15:26:01.086939
Plus,missemstt,Avis publié : 18 septembre 2013,2017-12-05 15:26:01.086943
Plus,Bkemsley,Avis publié : 21 juillet 2013,2017-12-05 15:26:01.086947
Plus,jules330,Avis publié : 18 juin 2013,2017-12-05 15:26:01.086951
Plus,jules330,Avis publié : 18 juin 2013,2017-12-05 15:26:01.086954
Plus,maryvy a,Avis publié : 11 avril 2013,2017-12-05 15:26:01.086958
Plus,dflawless1,Avis publié : 12 février 2013,2017-12-05 15:26:01.086962
Plus,CaliTica,Avis publié : 5 janvier 2013,2017-12-05 15:26:01.086966
Plus,Disinterested,Avis publié : 28 septembre 2012,2017-12-05 15:26:01.086969
Plus,Disinterested,Avis publié : 28 septembre 2012,2017-12-05 15:26:01.086973
Plus,ebking22,Avis publié : 17 mars 2012,2017-12-05 15:26:01.086977
